Date,Daily_Items_Sold,Transactions,Total_Daily_Value,Avg_Item_Value_GBP,Avg_Trans_Value_GBP
2015-08-08,523,209,"18,631",35.62,89.14
2015-08-09,522,212,"19,454",37.27,91.76
2015-08-10,774,322,"27,478",35.50,85.33
2015-08-11,627,259,"21,510",34.31,83.05
2015-08-12,604,254,"21,022",34.80,82.76
2015-08-13,491,206,"17,577",35.80,85.32
2015-08-14,589,249,"21,042",35.72,84.51
2015-08-15,395,172,"14,054",35.58,81.71
2015-08-16,605,248,"18,884",31.21,76.14
2015-08-17,536,211,"18,187",33.93,86.19
2015-08-18,493,205,"18,474",37.47,90.12
2015-08-19,536,227,"20,562",38.36,90.58
2015-08-20,508,209,"20,823",40.99,99.63
2015-08-21,436,178,"18,727",42.95,105.21
2015-08-22,336,135,"12,559",37.38,93.03
2015-08-23,544,206,"22,366",41.11,108.58
2015-08-24,572,228,"19,648",34.35,86.18
2015-08-25,612,237,"23,821",38.92,100.51
2015-08-26,573,234,"21,115",36.85,90.23
2015-08-27,429,175,"17,651",41.15,100.86
2015-08-28,488,192,"21,739",44.55,113.23
2015-08-29,398,161,"16,314",40.99,101.33
2015-08-30,321,136,"14,453",45.03,106.28
2015-08-31,530,210,"25,316",47.77,120.55
2015-09-01,432,171,"17,889",41.41,104.62
2015-09-02,569,222,"24,610",43.25,110.86
2015-09-03,390,170,"17,653",45.26,103.84
2015-09-04,414,175,"19,268",46.54,110.10
2015-09-05,467,187,"24,234",51.89,129.59
2015-09-06,492,184,"24,560",49.92,133.48
2015-09-07,531,218,"27,487",51.76,126.09
2015-09-08,590,242,"28,198",47.79,116.52
2015-09-09,523,220,"28,377",54.26,128.99
2015-09-10,227,93,"11,363",50.06,122.18
2015-09-11,376,166,"18,536",49.30,111.66
2015-09-12,373,158,"18,783",50.36,118.88
2015-09-13,518,197,"25,939",50.08,131.67
2015-09-14,559,220,"29,065",52.00,132.12
2015-09-15,565,231,"33,329",58.99,144.28
2015-09-16,561,238,"30,429",54.24,127.85
2015-09-17,496,196,"27,246",54.93,139.01
2015-09-18,337,132,"17,659",52.40,133.78
2015-09-19,338,146,"18,134",53.65,124.20
2015-09-20,490,182,"24,095",49.17,132.39
2015-09-21,471,182,"21,813",46.31,119.85
2015-09-22,445,181,"20,903",46.97,115.48
2015-09-23,438,179,"20,696",47.25,115.62
2015-09-24,447,180,"20,289",45.39,112.72
2015-09-25,457,188,"23,965",52.44,127.48
2015-09-26,391,157,"18,985",48.55,120.92
2015-09-27,481,187,"23,231",48.30,124.23
2015-09-28,580,241,"27,974",48.23,116.08
2015-09-29,788,337,"43,803",55.59,129.98
2015-09-30,610,254,"31,274",51.27,123.13
2015-10-01,555,216,"28,003",50.46,129.64
2015-10-02,701,292,"36,120",51.53,123.70
2015-10-03,547,224,"25,747",47.07,114.94
2015-10-04,636,246,"32,453",51.03,131.92
2015-10-05,687,281,"34,349",50.00,122.24
2015-10-06,691,286,"32,542",47.09,113.78
2015-10-07,727,299,"35,591",48.96,119.03
2015-10-08,636,248,"31,046",48.81,125.18
2015-10-09,687,291,"33,276",48.44,114.35
2015-10-10,639,259,"31,541",49.36,121.78
2015-10-11,683,265,"34,775",50.92,131.23
2015-10-12,748,305,"36,458",48.74,119.53
2015-10-13,889,355,"41,228",46.38,116.13
2015-10-14,746,303,"34,263",45.93,113.08
2015-10-15,758,307,"34,845",45.97,113.50
2015-10-16,789,329,"37,034",46.94,112.56
2015-10-17,814,315,"39,379",48.38,125.01
2015-10-18,999,400,"46,283",46.33,115.71
2015-10-19,926,385,"42,622",46.03,110.71
2015-10-20,821,343,"40,762",49.65,118.84
2015-10-21,854,363,"42,434",49.69,116.90
2015-10-22,726,298,"33,880",46.67,113.69
2015-10-23,736,315,"35,461",48.18,112.57
2015-10-24,728,304,"34,529",47.43,113.58
2015-10-25,797,335,"37,141",46.60,110.87
2015-10-26,727,297,"35,075",48.25,118.10
2015-10-27,790,326,"37,756",47.79,115.82
2015-10-28,743,314,"34,066",45.85,108.49
2015-10-29,843,344,"41,040",48.68,119.30
2015-10-30,"1,096",426,"53,100",48.45,124.65
2015-10-31,556,225,"26,735",48.08,118.82
2015-11-01,831,337,"43,060",51.82,127.78
2015-11-02,"1,043",427,"52,537",50.37,123.04
2015-11-03,"1,089",458,"55,133",50.63,120.38
2015-11-04,928,361,"43,177",46.53,119.60
2015-11-05,877,365,"40,688",46.39,111.47
2015-11-06,847,363,"43,790",51.70,120.63
2015-11-07,752,315,"37,416",49.76,118.78
2015-11-08,"1,061",415,"53,397",50.33,128.67
2015-11-09,909,383,"45,839",50.43,119.68
2015-11-10,815,324,"40,557",49.76,125.18
2015-11-11,"1,062",433,"52,396",49.34,121.01
2015-11-12,857,351,"41,815",48.79,119.13
2015-11-13,841,343,"39,239",46.66,114.40
2015-11-14,664,259,"34,128",51.40,131.77
2015-11-15,986,400,"48,510",49.20,121.28
2015-11-16,"1,123",476,"56,098",49.95,117.85
2015-11-17,886,362,"43,854",49.50,121.14
2015-11-18,851,346,"42,834",50.33,123.80
2015-11-19,708,289,"35,359",49.94,122.35
2015-11-20,717,300,"33,576",46.83,111.92
2015-11-21,630,249,"31,669",50.27,127.18
2015-11-22,920,363,"45,939",49.93,126.55
2015-11-23,921,382,"46,938",50.96,122.87
2015-11-24,"1,150",479,"57,648",50.13,120.35
2015-11-25,"1,030",434,"51,552",50.05,118.78
2015-11-26,"1,092",455,"53,932",49.39,118.53
2015-11-27,"1,375",591,"65,657",47.75,111.09
2015-11-28,"1,105",444,"55,239",49.99,124.41
2015-11-29,"1,125",471,"54,903",48.80,116.57
2015-11-30,"1,071",466,"53,105",49.58,113.96
2015-12-01,"1,056",427,"51,110",48.40,119.70
2015-12-02,864,360,"40,660",47.06,112.94
2015-12-03,702,301,"34,654",49.37,115.13
2015-12-04,929,403,"45,956",49.47,114.04
2015-12-05,857,363,"41,540",48.47,114.44
2015-12-06,820,350,"42,265",51.54,120.76
2015-12-07,"1,104",472,"54,958",49.78,116.44
2015-12-08,878,362,"43,565",49.62,120.34
2015-12-09,869,378,"41,046",47.23,108.59
2015-12-10,"1,004",409,"50,162",49.96,122.65
2015-12-11,"1,052",452,"50,486",47.99,111.69
2015-12-12,"1,099",446,"53,870",49.02,120.79
2015-12-13,"1,395",558,"65,229",46.76,116.90
2015-12-14,"1,274",532,"63,484",49.83,119.33
2015-12-15,"1,185",508,"56,223",47.45,110.68
2015-12-16,"1,091",452,"52,899",48.49,117.03
2015-12-17,899,386,"42,591",47.38,110.34
2015-12-18,"1,055",440,"52,554",49.81,119.44
2015-12-19,"1,014",419,"51,541",50.83,123.01
2015-12-20,891,389,"43,847",49.21,112.72
2015-12-21,"1,101",451,"55,385",50.30,122.80
2015-12-22,919,390,"43,444",47.27,111.39
2015-12-23,915,383,"44,364",48.49,115.83
2015-12-24,862,367,"42,034",48.76,114.54
2015-12-25,413,175,"20,401",49.40,116.58
2015-12-26,457,197,"22,363",48.94,113.52
2015-12-27,570,245,"28,592",50.16,116.70
2015-12-28,648,263,"33,359",51.48,126.84
2015-12-29,616,263,"29,788",48.36,113.26
2015-12-30,672,277,"30,834",45.88,111.32
2015-12-31,511,210,"25,378",49.66,120.85
2016-01-01,560,236,"27,259",48.68,115.50
2016-01-02,737,312,"38,322",52.00,122.83
2016-01-03,681,293,"33,874",49.74,115.61
2016-01-04,812,358,"42,688",52.57,119.24
2016-01-05,692,290,"34,114",49.30,117.63
2016-01-06,820,330,"37,391",45.60,113.31
2016-01-07,860,377,"38,309",44.55,101.61
2016-01-08,764,336,"36,095",47.24,107.42
2016-01-09,848,371,"38,281",45.14,103.18
2016-01-10,802,342,"38,385",47.86,112.24
2016-01-11,788,328,"40,782",51.75,124.34
2016-01-12,701,303,"33,002",47.08,108.92
2016-01-13,775,343,"38,437",49.60,112.06
2016-01-14,704,308,"35,053",49.79,113.81
2016-01-15,714,300,"34,559",48.40,115.20
2016-01-16,786,333,"37,618",47.86,112.97
2016-01-17,"1,072",429,"49,442",46.12,115.25
2016-01-18,871,384,"41,129",47.22,107.11
2016-01-19,841,364,"39,732",47.24,109.15
2016-01-20,766,327,"37,183",48.54,113.71
2016-01-21,701,304,"32,633",46.55,107.34
2016-01-22,691,298,"32,683",47.30,109.68
2016-01-23,675,304,"31,870",47.22,104.84
2016-01-24,842,361,"40,676",48.31,112.68
2016-01-25,853,372,"38,767",45.45,104.21
2016-01-26,785,343,"36,245",46.17,105.67
2016-01-27,742,324,"34,878",47.00,107.65
2016-01-28,726,330,"36,125",49.76,109.47
2016-01-29,871,387,"41,845",48.04,108.13
2016-01-30,752,341,"35,458",47.15,103.98
2016-01-31,995,424,"49,648",49.90,117.10
2016-02-01,986,418,"47,799",48.48,114.35
2016-02-02,"1,056",470,"53,168",50.35,113.12
2016-02-03,"1,019",461,"49,253",48.33,106.84
2016-02-04,962,431,"45,797",47.61,106.26
2016-02-05,"1,019",481,"49,995",49.06,103.94
2016-02-06,930,411,"45,783",49.23,111.39
2016-02-07,"1,121",473,"56,486",50.39,119.42
2016-02-08,"1,052",470,"51,059",48.54,108.64
2016-02-09,996,439,"46,635",46.82,106.23
2016-02-10,"1,003",457,"44,698",44.56,97.81
2016-02-11,977,441,"46,126",47.21,104.59
2016-02-12,"1,094",493,"55,044",50.31,111.65
2016-02-13,"1,139",511,"57,417",50.41,112.36
2016-02-14,"1,183",494,"60,794",51.39,123.07
2016-02-15,"1,310",575,"64,585",49.30,112.32
2016-02-16,"1,209",533,"58,092",48.05,108.99
2016-02-17,"1,208",519,"60,698",50.25,116.95
2016-02-18,"1,154",496,"57,318",49.67,115.56
2016-02-19,998,454,"49,876",49.98,109.86
2016-02-20,"1,094",468,"54,385",49.71,116.21
2016-02-21,"1,257",547,"63,283",50.34,115.69
2016-02-22,"1,235",536,"62,356",50.49,116.34
2016-02-23,"1,129",487,"54,028",47.85,110.94
2016-02-24,"1,100",476,"52,618",47.83,110.54
2016-02-25,"1,060",429,"52,107",49.16,121.46
2016-02-26,"1,354",579,"69,384",51.24,119.83
2016-02-27,"1,013",432,"52,313",51.64,121.09
2016-02-28,"1,167",505,"57,633",49.39,114.13
2016-02-29,"1,056",439,"51,814",49.07,118.03
2016-03-01,"1,087",465,"49,635",45.66,106.74
2016-03-02,993,431,"46,839",47.17,108.68
2016-03-03,738,305,"35,641",48.29,116.85
2016-03-04,"1,067",467,"48,235",45.21,103.29
2016-03-05,"1,015",436,"48,264",47.55,110.70
2016-03-06,"1,147",473,"56,859",49.57,120.21
2016-03-07,960,391,"49,605",51.67,126.87
2016-03-08,944,398,"47,735",50.57,119.94
2016-03-09,"1,038",437,"48,647",46.87,111.32
2016-03-10,899,369,"44,400",49.39,120.33
2016-03-11,"1,392",623,"73,614",52.88,118.16
2016-03-12,"1,444",630,"76,968",53.30,122.17
2016-03-13,"1,219",494,"62,353",51.15,126.22
2016-03-14,"1,158",480,"53,714",46.38,111.90
2016-03-15,"1,295",561,"64,693",49.96,115.32
2016-03-16,"1,042",446,"51,491",49.42,115.45
2016-03-17,911,392,"47,857",52.53,122.08
2016-03-18,896,386,"44,829",50.03,116.14
2016-03-19,932,391,"48,077",51.59,122.96
2016-03-20,"1,169",493,"61,401",52.52,124.55
2016-03-21,985,426,"49,009",49.75,115.04
2016-03-22,808,349,"36,830",45.58,105.53
2016-03-23,861,377,"40,350",46.86,107.03
2016-03-24,"1,045",441,"44,220",42.32,100.27
2016-03-25,957,412,"37,757",39.45,91.64
2016-03-26,964,420,"40,565",42.08,96.58
2016-03-27,883,370,"41,412",46.90,111.92
2016-03-28,967,411,"43,874",45.37,106.75
2016-03-29,"1,132",490,"47,254",41.74,96.44
2016-03-30,"1,012",464,"39,250",38.78,84.59
2016-03-31,998,428,"44,451",44.54,103.86
2016-04-01,"1,013",450,"50,326",49.68,111.84
2016-04-02,961,402,"49,263",51.26,122.55
2016-04-03,948,408,"46,075",48.60,112.93
2016-04-04,"1,275",557,"59,626",46.77,107.05
2016-04-05,"1,115",476,"58,835",52.77,123.60
2016-04-06,"1,146",486,"57,668",50.32,118.66
2016-04-07,"1,163",513,"53,104",45.66,103.52
2016-04-08,"1,114",488,"53,035",47.61,108.68
2016-04-09,"1,035",443,"50,832",49.11,114.75
2016-04-10,998,395,"48,054",48.15,121.66
2016-04-11,"1,128",479,"56,390",49.99,117.72
2016-04-12,"1,047",437,"50,243",47.99,114.97
2016-04-13,958,417,"47,357",49.43,113.57
2016-04-14,960,432,"47,094",49.06,109.01
2016-04-15,"1,249",515,"63,884",51.15,124.05
2016-04-16,"1,227",491,"61,568",50.18,125.39
2016-04-17,993,418,"50,146",50.50,119.97
2016-04-18,"1,146",485,"57,733",50.38,119.04
2016-04-19,915,396,"44,343",48.46,111.98
2016-04-20,"1,122",462,"55,677",49.62,120.51
2016-04-21,972,435,"45,927",47.25,105.58
2016-04-22,"1,431",618,"72,035",50.34,116.56
2016-04-23,"1,230",536,"64,480",52.42,120.30
2016-04-24,"1,351",577,"63,176",46.76,109.49
2016-04-25,"1,372",598,"64,363",46.91,107.63
2016-04-26,"1,342",593,"58,819",43.83,99.19
2016-04-27,"1,401",604,"65,006",46.40,107.63
2016-04-28,"1,337",596,"58,877",44.04,98.79
2016-04-29,"1,241",554,"59,363",47.83,107.15
2016-04-30,"1,079",478,"51,489",47.72,107.72
2016-05-01,942,400,"41,619",44.18,104.05
2016-05-02,"1,129",491,"53,557",47.44,109.08
2016-05-03,"1,009",423,"52,331",51.86,123.71
2016-05-04,879,381,"45,129",51.34,118.45
2016-05-05,"1,018",427,"51,785",50.87,121.28
2016-05-06,934,401,"46,954",50.27,117.09
2016-05-07,852,365,"46,278",54.32,126.79
2016-05-08,840,372,"47,199",56.19,126.88
2016-05-09,"1,056",452,"53,300",50.47,117.92
2016-05-10,"1,263",538,"64,776",51.29,120.40
2016-05-11,"1,276",555,"67,368",52.80,121.38
2016-05-12,"1,211",506,"62,340",51.48,123.20
2016-05-13,"1,122",487,"55,797",49.73,114.57
2016-05-14,971,389,"49,154",50.62,126.36
2016-05-15,"1,014",414,"52,269",51.55,126.25
2016-05-16,"1,285",542,"62,827",48.89,115.92
2016-05-17,"1,112",461,"53,151",47.80,115.29
2016-05-18,"1,170",495,"57,498",49.14,116.16
2016-05-19,"1,046",451,"49,749",47.56,110.31
2016-05-20,983,406,"49,384",50.24,121.63
2016-05-21,986,420,"50,988",51.71,121.40
2016-05-22,"1,392",579,"73,343",52.69,126.67
2016-05-23,"1,302",561,"72,424",55.63,129.10
2016-05-24,"1,216",507,"61,001",50.16,120.32
2016-05-25,"1,318",551,"61,293",46.50,111.24
2016-05-26,"1,141",493,"57,479",50.38,116.59
2016-05-27,"1,303",547,"66,822",51.28,122.16
2016-05-28,"1,056",449,"51,239",48.52,114.12
2016-05-29,899,366,"48,207",53.62,131.71
2016-05-30,"1,107",449,"59,266",53.54,132.00
2016-05-31,"1,383",577,"70,542",51.01,122.26
2016-06-01,"1,332",556,"66,123",49.64,118.93
2016-06-02,"1,288",564,"66,611",51.72,118.10
2016-06-03,984,421,"47,712",48.49,113.33
2016-06-04,915,405,"43,774",47.84,108.08
2016-06-05,969,406,"49,537",51.12,122.01
2016-06-06,"1,088",451,"53,957",49.59,119.64
2016-06-07,960,413,"48,174",50.18,116.64
2016-06-08,"1,158",474,"55,544",47.97,117.18
2016-06-09,"1,092",468,"55,611",50.93,118.83
2016-06-10,"1,028",425,"52,393",50.97,123.28
2016-06-11,954,403,"46,475",48.72,115.32
2016-06-12,"1,127",465,"59,293",52.61,127.51
2016-06-13,"1,064",462,"52,819",49.64,114.33
2016-06-14,"1,415",567,"68,293",48.26,120.45
2016-06-15,"1,231",519,"62,481",50.76,120.39
2016-06-16,"1,059",432,"55,785",52.68,129.13
2016-06-17,"1,240",520,"65,892",53.14,126.72
2016-06-18,"1,074",438,"55,283",51.47,126.22
2016-06-19,"1,145",456,"57,008",49.79,125.02
2016-06-20,"1,129",474,"58,555",51.86,123.53
2016-06-21,923,382,"50,069",54.25,131.07
2016-06-22,994,407,"48,935",49.23,120.23
2016-06-23,"1,029",415,"54,089",52.56,130.33
2016-06-24,740,323,"39,025",52.74,120.82
2016-06-25,878,372,"43,419",49.45,116.72
2016-06-26,"1,052",433,"54,611",51.91,126.12
2016-06-27,"1,062",436,"55,415",52.18,127.10
2016-06-28,"1,180",504,"58,669",49.72,116.41
2016-06-29,"1,237",521,"62,687",50.68,120.32
2016-06-30,"1,226",508,"61,102",49.84,120.28
2016-07-01,"1,433",576,"75,071",52.39,130.33
2016-07-02,"1,022",424,"53,185",52.04,125.44
2016-07-03,"1,115",463,"57,681",51.73,124.58
2016-07-04,"1,409",584,"70,371",49.94,120.50
2016-07-05,"1,671",686,"81,879",49.00,119.36
2016-07-06,"1,173",505,"57,090",48.67,113.05
2016-07-07,"1,328",535,"66,813",50.31,124.88
2016-07-08,"1,260",522,"64,073",50.85,122.75
2016-07-09,"1,168",482,"56,876",48.70,118.00
2016-07-10,"1,382",558,"70,934",51.33,127.12
2016-07-11,"1,497",655,"74,589",49.83,113.88
2016-07-12,"1,555",631,"77,702",49.97,123.14
2016-07-13,"1,454",600,"72,157",49.63,120.26
2016-07-14,"1,244",511,"61,420",49.37,120.20
2016-07-15,"1,252",510,"59,984",47.91,117.62
2016-07-16,"1,085",459,"50,390",46.44,109.78
2016-07-17,"1,290",545,"64,601",50.08,118.53
2016-07-18,"1,256",512,"59,692",47.53,116.59
2016-07-19,"1,280",514,"59,202",46.25,115.18
2016-07-20,"1,239",491,"64,356",51.94,131.07
2016-07-21,"1,214",496,"59,543",49.05,120.05
2016-07-22,"1,305",544,"66,315",50.82,121.90
2016-07-23,"1,065",439,"53,163",49.92,121.10
2016-07-24,"1,150",473,"57,605",50.09,121.79
2016-07-25,"1,627",690,"80,280",49.34,116.35
2016-07-26,"1,516",624,"76,094",50.19,121.95
2016-07-27,"1,590",625,"74,101",46.60,118.56
2016-07-28,"1,521",628,"72,377",47.59,115.25
2016-07-29,"1,796",732,"93,512",52.07,127.75
2016-07-30,"1,341",563,"69,260",51.65,123.02
2016-07-31,"1,662",669,"91,509",55.06,136.79
2016-08-01,"1,827",753,"100,705",55.12,133.74
2016-08-02,"1,952",799,"97,690",50.05,122.27
2016-08-03,"1,797",732,"94,701",52.70,129.37
2016-08-04,"1,620",674,"87,827",54.21,130.31
2016-08-05,"1,894",764,"99,434",52.50,130.15
2016-08-06,"1,317",542,"72,624",55.14,133.99
2016-08-07,"1,488",609,"80,991",54.43,132.99
2016-08-08,"1,858",746,"98,152",52.83,131.57
2016-08-09,"1,676",686,"87,507",52.21,127.56
2016-08-10,"1,815",758,"92,089",50.74,121.49
2016-08-11,"1,628",678,"83,219",51.12,122.74
2016-08-12,"1,487",635,"82,284",55.34,129.58
2016-08-13,"1,293",544,"71,022",54.93,130.55
2016-08-14,"1,411",557,"72,771",51.57,130.65
2016-08-15,"1,675",670,"87,886",52.47,131.17
2016-08-16,"1,786",726,"94,001",52.63,129.48
2016-08-17,"1,603",693,"84,401",52.65,121.79
2016-08-18,"1,647",666,"87,324",53.02,131.12
2016-08-19,"1,975",812,"102,679",51.99,126.45
2016-08-20,"1,551",657,"84,114",54.23,128.03
2016-08-21,"1,622",657,"89,175",54.98,135.73
2016-08-22,"1,869",775,"101,615",54.37,131.12
2016-08-23,"1,493",610,"81,312",54.46,133.30
2016-08-24,"1,424",593,"81,482",57.22,137.41
2016-08-25,"1,582",652,"85,541",54.07,131.20
2016-08-26,"1,545",646,"82,681",53.52,127.99
2016-08-27,"1,433",592,"83,778",58.46,141.52
2016-08-28,"1,366",552,"75,634",55.37,137.02
2016-08-29,"1,274",514,"74,457",58.44,144.86
2016-08-30,"1,451",604,"80,392",55.40,133.10
2016-08-31,"1,741",706,"97,353",55.92,137.89
2016-09-01,"1,832",739,"107,163",58.50,145.01
2016-09-02,"1,918",811,"106,584",55.57,131.42
2016-09-03,"1,665",681,"91,990",55.25,135.08
2016-09-04,"1,740",696,"101,894",58.56,146.40
2016-09-05,"1,841",749,"106,264",57.72,141.87
2016-09-06,"1,613",621,"88,788",55.05,142.98
2016-09-07,"1,364",553,"76,374",55.99,138.11
2016-09-08,"1,386",577,"80,325",57.95,139.21
2016-09-09,"1,352",566,"77,482",57.31,136.89
2016-09-10,"1,649",671,"97,743",59.27,145.67
2016-09-11,"1,549",620,"87,172",56.28,140.60
2016-09-12,"1,650",662,"94,328",57.17,142.49
2016-09-13,"1,588",653,"88,112",55.49,134.93
2016-09-14,"1,530",621,"86,023",56.22,138.52
2016-09-15,"1,449",593,"79,330",54.75,133.78
2016-09-16,"1,466",589,"79,376",54.14,134.76
2016-09-17,"1,350",557,"78,414",58.08,140.78
2016-09-18,"1,764",684,"96,628",54.78,141.27
2016-09-19,"1,655",657,"89,882",54.31,136.81
2016-09-20,"1,631",657,"87,593",53.71,133.32
2016-09-21,"1,631",662,"94,018",57.64,142.02
2016-09-22,"1,572",644,"82,602",52.55,128.26
2016-09-23,"1,787",718,"90,868",50.85,126.56
2016-09-24,"1,643",657,"87,811",53.45,133.66
2016-09-25,"1,916",745,"102,862",53.69,138.07
2016-09-26,"2,210",875,"115,821",52.41,132.37
2016-09-27,"2,139",880,"107,326",50.18,121.96
2016-09-28,"2,097",846,"108,557",51.77,128.32
2016-09-29,"1,999",799,"101,336",50.69,126.83
2016-09-30,"1,978",830,"101,384",51.26,122.15
2016-10-01,"2,008",783,"106,350",52.96,135.82
2016-10-02,"2,099",795,"112,697",53.69,141.76
2016-10-03,"2,012",786,"106,575",52.97,135.59
2016-10-04,"1,950",796,"99,651",51.10,125.19
2016-10-05,"1,882",767,"97,920",52.03,127.67
2016-10-06,"1,841",727,"94,900",51.55,130.54
2016-10-07,"2,147",854,"106,305",49.51,124.48
2016-10-08,"2,151",831,"112,810",52.45,135.75
2016-10-09,"2,249",864,"117,632",52.30,136.15
2016-10-10,"2,061",813,"110,358",53.55,135.74
2016-10-11,"1,916",774,"99,320",51.84,128.32
2016-10-12,"1,915",781,"97,925",51.14,125.38
2016-10-13,"1,873",747,"99,953",53.37,133.81
2016-10-14,"2,238",887,"116,207",51.92,131.01
2016-10-15,"2,073",794,"115,712",55.82,145.73
2016-10-16,"2,483",952,"135,431",54.54,142.26
2016-10-17,"2,359",916,"128,678",54.55,140.48
2016-10-18,"2,081",813,"112,315",53.97,138.15
2016-10-19,"2,174",883,"110,497",50.83,125.14
2016-10-20,"2,114",826,"108,944",51.53,131.89
2016-10-21,"2,138",858,"112,705",52.72,131.36
2016-10-22,"1,984",776,"107,646",54.26,138.72
2016-10-23,"2,507",938,"134,528",53.66,143.42
2016-10-24,"2,205",868,"113,059",51.27,130.25
2016-10-25,"1,867",758,"99,379",53.23,131.11
2016-10-26,"1,960",760,"99,305",50.67,130.66
2016-10-27,"1,871",735,"98,448",52.62,133.94
2016-10-28,"2,085",855,"108,906",52.23,127.38
2016-10-29,"1,827",745,"94,229",51.58,126.48
2016-10-30,"2,376",941,"122,638",51.62,130.33
2016-10-31,"2,494",993,"126,647",50.78,127.54
2016-11-01,"2,380",954,"122,905",51.64,128.83
2016-11-02,"2,501","1,038","126,203",50.46,121.58
2016-11-03,"2,473","1,006","127,689",51.63,126.93
2016-11-04,"2,286",918,"116,190",50.83,126.57
2016-11-05,"2,265",927,"121,246",53.53,130.79
2016-11-06,"2,611","1,031","135,070",51.73,131.01
2016-11-07,"2,512",970,"128,910",51.32,132.90
2016-11-08,"2,393",962,"121,506",50.78,126.31
2016-11-09,"1,687",692,"87,704",51.99,126.74
2016-11-10,"1,917",777,"100,890",52.63,129.84
2016-11-11,"1,895",744,"94,547",49.89,127.08
2016-11-12,"2,246",877,"122,646",54.61,139.85
2016-11-13,"2,420",926,"128,871",53.25,139.17
2016-11-14,"2,380",973,"129,098",54.24,132.68
2016-11-15,"2,397",957,"128,095",53.44,133.85
2016-11-16,"2,183",882,"114,375",52.39,129.68
2016-11-17,"2,136",851,"115,731",54.18,135.99
2016-11-18,"2,356",938,"123,993",52.63,132.19
2016-11-19,"2,621","1,021","132,002",50.36,129.29
2016-11-20,"3,062","1,169","157,718",51.51,134.92
2016-11-21,"2,775","1,105","142,813",51.46,129.24
2016-11-22,"2,564","1,023","134,609",52.50,131.58
2016-11-23,"2,847","1,146","147,992",51.98,129.14
2016-11-24,"2,730","1,071","142,832",52.32,133.36
2016-11-25,"3,786","1,525","196,471",51.89,128.83
2016-11-26,"2,827","1,142","150,471",53.23,131.76
2016-11-27,"3,426","1,339","181,212",52.89,135.33
2016-11-28,"3,449","1,419","180,729",52.40,127.36
2016-11-29,"2,748","1,136","148,666",54.10,130.87
2016-11-30,"3,912","1,649","225,128",57.55,136.52
2016-12-01,"2,975","1,257","163,197",54.86,129.83
2016-12-02,"3,171","1,285","177,466",55.97,138.11
2016-12-03,"2,708","1,127","139,678",51.58,123.94
2016-12-04,"3,461","1,380","188,747",54.54,136.77
2016-12-05,"3,253","1,313","174,844",53.75,133.16
2016-12-06,"2,955","1,194","162,562",55.01,136.15
2016-12-07,"2,835","1,149","155,020",54.68,134.92
2016-12-08,"2,531","1,063","136,744",54.03,128.64
2016-12-09,"2,571","1,098","145,586",56.63,132.59
2016-12-10,"2,802","1,112","156,524",55.86,140.76
2016-12-11,"3,035","1,233","178,519",58.82,144.78
2016-12-12,"3,197","1,303","178,623",55.87,137.09
2016-12-13,"2,742","1,164","161,628",58.95,138.86
2016-12-14,"2,557","1,071","148,778",58.18,138.92
2016-12-15,"1,810",768,"104,537",57.76,136.12
2016-12-16,"2,355",973,"134,058",56.92,137.78
2016-12-17,"2,171",892,"122,483",56.42,137.31
2016-12-18,"2,574","1,036","141,211",54.86,136.30
2016-12-19,"2,666","1,127","148,524",55.71,131.79
2016-12-20,"2,692","1,106","149,747",55.63,135.40
2016-12-21,"2,760","1,142","151,335",54.83,132.52
2016-12-22,"2,648","1,093","144,760",54.67,132.44
2016-12-23,"2,643","1,109","144,354",54.62,130.17
2016-12-24,"2,113",904,"120,471",57.01,133.26
2016-12-25,"1,236",516,"71,231",57.63,138.04
2016-12-26,"1,548",617,"76,420",49.37,123.86
2016-12-27,"1,733",726,"94,793",54.70,130.57
2016-12-28,"1,838",749,"91,818",49.96,122.59
2016-12-29,"1,505",628,"79,073",52.54,125.91
2016-12-30,"1,569",637,"82,738",52.73,129.89
2016-12-31,"1,235",520,"70,294",56.92,135.18
2017-01-01,"1,252",518,"68,962",55.08,133.13
2017-01-02,"1,892",785,"105,468",55.74,134.35
2017-01-03,"1,795",751,"101,984",56.82,135.80
2017-01-04,"1,600",663,"89,637",56.02,135.20
2017-01-05,"1,508",628,"84,733",56.19,134.93
2017-01-06,"1,528",624,"89,946",58.87,144.14
2017-01-07,"1,684",709,"95,226",56.55,134.31
2017-01-08,"2,021",818,"118,486",58.63,144.85
2017-01-09,"1,860",754,"110,370",59.34,146.38
2017-01-10,"1,793",738,"101,098",56.38,136.99
2017-01-11,"1,600",669,"91,291",57.06,136.46
2017-01-12,"1,646",682,"92,322",56.09,135.37
2017-01-13,"1,826",799,"99,277",54.37,124.25
2017-01-14,"1,687",707,"90,580",53.69,128.12
2017-01-15,"2,143",875,"119,143",55.60,136.16
2017-01-16,"1,929",834,"110,005",57.03,131.90
2017-01-17,"1,798",746,"98,243",54.64,131.69
2017-01-18,"1,743",707,"96,394",55.30,136.34
2017-01-19,"1,517",638,"86,471",57.00,135.53
2017-01-20,"1,524",638,"89,599",58.79,140.44
2017-01-21,"1,628",687,"97,046",59.61,141.26
2017-01-22,"2,004",802,"120,339",60.05,150.05
2017-01-23,"1,831",737,"113,542",62.01,154.06
2017-01-24,"1,327",558,"78,658",59.28,140.96
2017-01-25,"1,696",701,"100,661",59.35,143.60
