Date,Daily_Items_Sold,Total_Daily_Value,Avg_Item_Value_GBP,Avg_Trans_Value_GBP
2015-09-29,788,"43,803",55.59,129.98
2015-09-30,610,"31,274",51.27,123.13
2015-10-01,555,"28,003",50.46,129.64
2015-10-02,701,"36,120",51.53,123.7
2015-10-03,547,"25,747",47.07,114.94
2015-10-04,636,"32,453",51.03,131.92
2015-10-05,687,"34,349",50,122.24
2015-10-06,691,"32,542",47.09,113.78
2015-10-07,727,"35,591",48.96,119.03
2015-10-08,636,"31,046",48.81,125.18
2015-10-09,687,"33,276",48.44,114.35
2015-10-10,639,"31,541",49.36,121.78
2015-10-11,683,"34,775",50.92,131.23
2015-10-12,748,"36,458",48.74,119.53
2015-10-13,889,"41,228",46.38,116.13
2015-10-14,746,"34,263",45.93,113.08
2015-10-15,758,"34,845",45.97,113.5
2015-10-16,789,"37,034",46.94,112.56
2015-10-17,814,"39,379",48.38,125.01
2015-10-18,999,"46,283",46.33,115.71
2015-10-19,926,"42,622",46.03,110.71
2015-10-20,821,"40,762",49.65,118.84
2015-10-21,854,"42,434",49.69,116.9
2015-10-22,726,"33,880",46.67,113.69
2015-10-23,736,"35,461",48.18,112.57
2015-10-24,728,"34,529",47.43,113.58
2015-10-25,797,"37,141",46.6,110.87
2015-10-26,727,"35,075",48.25,118.1
2015-10-27,790,"37,756",47.79,115.82
2015-10-28,743,"34,066",45.85,108.49
2015-10-29,843,"41,040",48.68,119.3
2015-10-30,"1,096","53,100",48.45,124.65
2015-10-31,556,"26,735",48.08,118.82
2015-11-01,831,"43,060",51.82,127.78
2015-11-02,"1,043","52,537",50.37,123.04
2015-11-03,"1,089","55,133",50.63,120.38
2015-11-04,928,"43,177",46.53,119.6
2015-11-05,877,"40,688",46.39,111.47
2015-11-06,847,"43,790",51.7,120.63
2015-11-07,752,"37,416",49.76,118.78
2015-11-08,"1,061","53,397",50.33,128.67
2015-11-09,909,"45,839",50.43,119.68
2015-11-10,815,"40,557",49.76,125.18
2015-11-11,"1,062","52,396",49.34,121.01
2015-11-12,857,"41,815",48.79,119.13
2015-11-13,841,"39,239",46.66,114.4
2015-11-14,664,"34,128",51.4,131.77
2015-11-15,986,"48,510",49.2,121.28
2015-11-16,"1,123","56,098",49.95,117.85
2015-11-17,886,"43,854",49.5,121.14
2015-11-18,851,"42,834",50.33,123.8
2015-11-19,708,"35,359",49.94,122.35
2015-11-20,717,"33,576",46.83,111.92
2015-11-21,630,"31,669",50.27,127.18
2015-11-22,920,"45,939",49.93,126.55
2015-11-23,921,"46,938",50.96,122.87
2015-11-24,"1,150","57,648",50.13,120.35
2015-11-25,"1,030","51,552",50.05,118.78
2015-11-26,"1,092","53,932",49.39,118.53
2015-11-27,"1,375","65,657",47.75,111.09
2015-11-28,"1,105","55,239",49.99,124.41
2015-11-29,"1,125","54,903",48.8,116.57
2015-11-30,"1,071","53,105",49.58,113.96
2015-12-01,"1,056","51,110",48.4,119.7
2015-12-02,864,"40,660",47.06,112.94
2015-12-03,702,"34,654",49.37,115.13
2015-12-04,929,"45,956",49.47,114.04
2015-12-05,857,"41,540",48.47,114.44
2015-12-06,820,"42,265",51.54,120.76
2015-12-07,"1,104","54,958",49.78,116.44
2015-12-08,878,"43,565",49.62,120.34
2015-12-09,869,"41,046",47.23,108.59
2015-12-10,"1,004","50,162",49.96,122.65
2015-12-11,"1,052","50,486",47.99,111.69
2015-12-12,"1,099","53,870",49.02,120.79
2015-12-13,"1,395","65,229",46.76,116.9
2015-12-14,"1,274","63,484",49.83,119.33
2015-12-15,"1,185","56,223",47.45,110.68
2015-12-16,"1,091","52,899",48.49,117.03
2015-12-17,899,"42,591",47.38,110.34
2015-12-18,"1,055","52,554",49.81,119.44
2015-12-19,"1,014","51,541",50.83,123.01
2015-12-20,891,"43,847",49.21,112.72
2015-12-21,"1,101","55,385",50.3,122.8
2015-12-22,919,"43,444",47.27,111.39
2015-12-23,915,"44,364",48.49,115.83
2015-12-24,862,"42,034",48.76,114.54
2015-12-25,413,"20,401",49.4,116.58
2015-12-26,457,"22,363",48.94,113.52
2015-12-27,570,"28,592",50.16,116.7
2015-12-28,648,"33,359",51.48,126.84
2015-12-29,616,"29,788",48.36,113.26
2015-12-30,672,"30,834",45.88,111.32
2015-12-31,511,"25,378",49.66,120.85
2016-01-01,560,"27,259",48.68,115.5
2016-01-02,737,"38,322",52,122.83
2016-01-03,681,"33,874",49.74,115.61
2016-01-04,812,"42,688",52.57,119.24
2016-01-05,692,"34,114",49.3,117.63
2016-01-06,820,"37,391",45.6,113.31
2016-01-07,860,"38,309",44.55,101.61
2016-01-08,764,"36,095",47.24,107.42
2016-01-09,848,"38,281",45.14,103.18
2016-01-10,802,"38,385",47.86,112.24
2016-01-11,788,"40,782",51.75,124.34
2016-01-12,701,"33,002",47.08,108.92
2016-01-13,775,"38,437",49.6,112.06
2016-01-14,704,"35,053",49.79,113.81
2016-01-15,714,"34,559",48.4,115.2
2016-01-16,786,"37,618",47.86,112.97
2016-01-17,"1,072","49,442",46.12,115.25
2016-01-18,871,"41,129",47.22,107.11
2016-01-19,841,"39,732",47.24,109.15
2016-01-20,766,"37,183",48.54,113.71
2016-01-21,701,"32,633",46.55,107.34
2016-01-22,691,"32,683",47.3,109.68
2016-01-23,675,"31,870",47.22,104.84
2016-01-24,842,"40,676",48.31,112.68
2016-01-25,853,"38,767",45.45,104.21
2016-01-26,785,"36,245",46.17,105.67
2016-01-27,742,"34,878",47,107.65
2016-01-28,726,"36,125",49.76,109.47
2016-01-29,871,"41,845",48.04,108.13
2016-01-30,752,"35,458",47.15,103.98
2016-01-31,995,"49,648",49.9,117.1
2016-02-01,986,"47,799",48.48,114.35
2016-02-02,"1,056","53,168",50.35,113.12
2016-02-03,"1,019","49,253",48.33,106.84
2016-02-04,962,"45,797",47.61,106.26
2016-02-05,"1,019","49,995",49.06,103.94
2016-02-06,930,"45,783",49.23,111.39
2016-02-07,"1,121","56,486",50.39,119.42
2016-02-08,"1,052","51,059",48.54,108.64
2016-02-09,996,"46,635",46.82,106.23
2016-02-10,"1,003","44,698",44.56,97.81
2016-02-11,977,"46,126",47.21,104.59
2016-02-12,"1,094","55,044",50.31,111.65
2016-02-13,"1,139","57,417",50.41,112.36
2016-02-14,"1,183","60,794",51.39,123.07
2016-02-15,"1,310","64,585",49.3,112.32
2016-02-16,"1,209","58,092",48.05,108.99
2016-02-17,"1,208","60,698",50.25,116.95
2016-02-18,"1,154","57,318",49.67,115.56
2016-02-19,998,"49,876",49.98,109.86
2016-02-20,"1,094","54,385",49.71,116.21
2016-02-21,"1,257","63,283",50.34,115.69
2016-02-22,"1,235","62,356",50.49,116.34
2016-02-23,"1,129","54,028",47.85,110.94
2016-02-24,"1,100","52,618",47.83,110.54
2016-02-25,"1,060","52,107",49.16,121.46
2016-02-26,"1,354","69,384",51.24,119.83
2016-02-27,"1,013","52,313",51.64,121.09
2016-02-28,"1,167","57,633",49.39,114.13
2016-02-29,"1,056","51,814",49.07,118.03
2016-03-01,"1,087","49,635",45.66,106.74
2016-03-02,993,"46,839",47.17,108.68
2016-03-03,738,"35,641",48.29,116.85
2016-03-04,"1,067","48,235",45.21,103.29
2016-03-05,"1,015","48,264",47.55,110.7
2016-03-06,"1,147","56,859",49.57,120.21
2016-03-07,960,"49,605",51.67,126.87
2016-03-08,944,"47,735",50.57,119.94
2016-03-09,"1,038","48,647",46.87,111.32
2016-03-10,899,"44,400",49.39,120.33
2016-03-11,"1,392","73,614",52.88,118.16
2016-03-12,"1,444","76,968",53.3,122.17
2016-03-13,"1,219","62,353",51.15,126.22
2016-03-14,"1,158","53,714",46.38,111.9
2016-03-15,"1,295","64,693",49.96,115.32
2016-03-16,"1,042","51,491",49.42,115.45
2016-03-17,911,"47,857",52.53,122.08
2016-03-18,896,"44,829",50.03,116.14
2016-03-19,932,"48,077",51.59,122.96
2016-03-20,"1,169","61,401",52.52,124.55
2016-03-21,985,"49,009",49.75,115.04
2016-03-22,808,"36,830",45.58,105.53
2016-03-23,861,"40,350",46.86,107.03
2016-03-24,"1,045","44,220",42.32,100.27
2016-03-25,957,"37,757",39.45,91.64
2016-03-26,964,"40,565",42.08,96.58
2016-03-27,883,"41,412",46.9,111.92
2016-03-28,967,"43,874",45.37,106.75
2016-03-29,"1,132","47,254",41.74,96.44
2016-03-30,"1,012","39,250",38.78,84.59
2016-03-31,998,"44,451",44.54,103.86
2016-04-01,"1,013","50,326",49.68,111.84
2016-04-02,961,"49,263",51.26,122.55
2016-04-03,948,"46,075",48.6,112.93
2016-04-04,"1,275","59,626",46.77,107.05
2016-04-05,"1,115","58,835",52.77,123.6
2016-04-06,"1,146","57,668",50.32,118.66
2016-04-07,"1,163","53,104",45.66,103.52
2016-04-08,"1,114","53,035",47.61,108.68
2016-04-09,"1,035","50,832",49.11,114.75
2016-04-10,998,"48,054",48.15,121.66
2016-04-11,"1,128","56,390",49.99,117.72
2016-04-12,"1,047","50,243",47.99,114.97
2016-04-13,958,"47,357",49.43,113.57
2016-04-14,960,"47,094",49.06,109.01
2016-04-15,"1,249","63,884",51.15,124.05
2016-04-16,"1,227","61,568",50.18,125.39
2016-04-17,993,"50,146",50.5,119.97
2016-04-18,"1,146","57,733",50.38,119.04
2016-04-19,915,"44,343",48.46,111.98
2016-04-20,"1,122","55,677",49.62,120.51
2016-04-21,972,"45,927",47.25,105.58
2016-04-22,"1,431","72,035",50.34,116.56
2016-04-23,"1,230","64,480",52.42,120.3
2016-04-24,"1,351","63,176",46.76,109.49
2016-04-25,"1,372","64,363",46.91,107.63
2016-04-26,"1,342","58,819",43.83,99.19
2016-04-27,"1,401","65,006",46.4,107.63
2016-04-28,"1,337","58,877",44.04,98.79
2016-04-29,"1,241","59,363",47.83,107.15
2016-04-30,"1,079","51,489",47.72,107.72
2016-05-01,942,"41,619",44.18,104.05
2016-05-02,"1,129","53,557",47.44,109.08
2016-05-03,"1,009","52,331",51.86,123.71
2016-05-04,879,"45,129",51.34,118.45
2016-05-05,"1,018","51,785",50.87,121.28
2016-05-06,934,"46,954",50.27,117.09
2016-05-07,852,"46,278",54.32,126.79
2016-05-08,840,"47,199",56.19,126.88
2016-05-09,"1,056","53,300",50.47,117.92
2016-05-10,"1,263","64,776",51.29,120.4
2016-05-11,"1,276","67,368",52.8,121.38
2016-05-12,"1,211","62,340",51.48,123.2
2016-05-13,"1,122","55,797",49.73,114.57
2016-05-14,971,"49,154",50.62,126.36
2016-05-15,"1,014","52,269",51.55,126.25
2016-05-16,"1,285","62,827",48.89,115.92
2016-05-17,"1,112","53,151",47.8,115.29
2016-05-18,"1,170","57,498",49.14,116.16
2016-05-19,"1,046","49,749",47.56,110.31
2016-05-20,983,"49,384",50.24,121.63
2016-05-21,986,"50,988",51.71,121.4
2016-05-22,"1,392","73,343",52.69,126.67
2016-05-23,"1,302","72,424",55.63,129.1
2016-05-24,"1,216","61,001",50.16,120.32
2016-05-25,"1,318","61,293",46.5,111.24
2016-05-26,"1,141","57,479",50.38,116.59
2016-05-27,"1,303","66,822",51.28,122.16
2016-05-28,"1,056","51,239",48.52,114.12
2016-05-29,899,"48,207",53.62,131.71
2016-05-30,"1,107","59,266",53.54,132
2016-05-31,"1,383","70,542",51.01,122.26
2016-06-01,"1,332","66,123",49.64,118.93
2016-06-02,"1,288","66,611",51.72,118.1
2016-06-03,984,"47,712",48.49,113.33
2016-06-04,915,"43,774",47.84,108.08
2016-06-05,969,"49,537",51.12,122.01
2016-06-06,"1,088","53,957",49.59,119.64
2016-06-07,960,"48,174",50.18,116.64
2016-06-08,"1,158","55,544",47.97,117.18
2016-06-09,"1,092","55,611",50.93,118.83
2016-06-10,"1,028","52,393",50.97,123.28
2016-06-11,954,"46,475",48.72,115.32
2016-06-12,"1,127","59,293",52.61,127.51
2016-06-13,"1,064","52,819",49.64,114.33
2016-06-14,"1,415","68,293",48.26,120.45
2016-06-15,"1,231","62,481",50.76,120.39
2016-06-16,"1,059","55,785",52.68,129.13
2016-06-17,"1,240","65,892",53.14,126.72
2016-06-18,"1,074","55,283",51.47,126.22
2016-06-19,"1,145","57,008",49.79,125.02
2016-06-20,"1,129","58,555",51.86,123.53
2016-06-21,923,"50,069",54.25,131.07
2016-06-22,994,"48,935",49.23,120.23
2016-06-23,"1,029","54,089",52.56,130.33
2016-06-24,740,"39,025",52.74,120.82
2016-06-25,878,"43,419",49.45,116.72
2016-06-26,"1,052","54,611",51.91,126.12
2016-06-27,"1,062","55,415",52.18,127.1
2016-06-28,"1,180","58,669",49.72,116.41
2016-06-29,"1,237","62,687",50.68,120.32
2016-06-30,"1,226","61,102",49.84,120.28
2016-07-01,"1,433","75,071",52.39,130.33
2016-07-02,"1,022","53,185",52.04,125.44
2016-07-03,"1,115","57,681",51.73,124.58
2016-07-04,"1,409","70,371",49.94,120.5
2016-07-05,"1,671","81,879",49,119.36
2016-07-06,"1,173","57,090",48.67,113.05
2016-07-07,"1,328","66,813",50.31,124.88
2016-07-08,"1,260","64,073",50.85,122.75
2016-07-09,"1,168","56,876",48.7,118
2016-07-10,"1,382","70,934",51.33,127.12
2016-07-11,"1,497","74,589",49.83,113.88
2016-07-12,"1,555","77,702",49.97,123.14
2016-07-13,"1,454","72,157",49.63,120.26
2016-07-14,"1,244","61,420",49.37,120.2
2016-07-15,"1,252","59,984",47.91,117.62
2016-07-16,"1,085","50,390",46.44,109.78
2016-07-17,"1,290","64,601",50.08,118.53
2016-07-18,"1,256","59,692",47.53,116.59
2016-07-19,"1,280","59,202",46.25,115.18
2016-07-20,"1,239","64,356",51.94,131.07
2016-07-21,"1,214","59,543",49.05,120.05
2016-07-22,"1,305","66,315",50.82,121.9
2016-07-23,"1,065","53,163",49.92,121.1
2016-07-24,"1,150","57,605",50.09,121.79
2016-07-25,"1,627","80,280",49.34,116.35
2016-07-26,"1,516","76,094",50.19,121.95
2016-07-27,"1,590","74,101",46.6,118.56
2016-07-28,"1,521","72,377",47.59,115.25
2016-07-29,"1,796","93,512",52.07,127.75
2016-07-30,"1,341","69,260",51.65,123.02
2016-07-31,"1,662","91,509",55.06,136.79
2016-08-01,"1,827","100,705",55.12,133.74
2016-08-02,"1,952","97,690",50.05,122.27
2016-08-03,"1,797","94,701",52.7,129.37
2016-08-04,"1,620","87,827",54.21,130.31
2016-08-05,"1,894","99,434",52.5,130.15
2016-08-06,"1,317","72,624",55.14,133.99
2016-08-07,"1,488","80,991",54.43,132.99
2016-08-08,"1,858","98,152",52.83,131.57
2016-08-09,"1,676","87,507",52.21,127.56
2016-08-10,"1,815","92,089",50.74,121.49
2016-08-11,"1,628","83,219",51.12,122.74
2016-08-12,"1,487","82,284",55.34,129.58
2016-08-13,"1,293","71,022",54.93,130.55
2016-08-14,"1,411","72,771",51.57,130.65
2016-08-15,"1,675","87,886",52.47,131.17
2016-08-16,"1,786","94,001",52.63,129.48
2016-08-17,"1,603","84,401",52.65,121.79
2016-08-18,"1,647","87,324",53.02,131.12
2016-08-19,"1,975","102,679",51.99,126.45
2016-08-20,"1,551","84,114",54.23,128.03
2016-08-21,"1,622","89,175",54.98,135.73
2016-08-22,"1,869","101,615",54.37,131.12
2016-08-23,"1,493","81,312",54.46,133.3
2016-08-24,"1,424","81,482",57.22,137.41
2016-08-25,"1,582","85,541",54.07,131.2
2016-08-26,"1,545","82,681",53.52,127.99
2016-08-27,"1,433","83,778",58.46,141.52
2016-08-28,"1,366","75,634",55.37,137.02
2016-08-29,"1,274","74,457",58.44,144.86
2016-08-30,"1,451","80,392",55.4,133.1
2016-08-31,"1,741","97,353",55.92,137.89
2016-09-01,"1,832","107,163",58.5,145.01
2016-09-02,"1,918","106,584",55.57,131.42
2016-09-03,"1,665","91,990",55.25,135.08
2016-09-04,"1,740","101,894",58.56,146.4
2016-09-05,"1,841","106,264",57.72,141.87
2016-09-06,"1,613","88,788",55.05,142.98
2016-09-07,"1,364","76,374",55.99,138.11
2016-09-08,"1,386","80,325",57.95,139.21
2016-09-09,"1,352","77,482",57.31,136.89
2016-09-10,"1,649","97,743",59.27,145.67
2016-09-11,"1,549","87,172",56.28,140.6
2016-09-12,"1,650","94,328",57.17,142.49
2016-09-13,"1,588","88,112",55.49,134.93
2016-09-14,"1,530","86,023",56.22,138.52
2016-09-15,"1,449","79,330",54.75,133.78
2016-09-16,"1,466","79,376",54.14,134.76
2016-09-17,"1,350","78,414",58.08,140.78
2016-09-18,"1,764","96,628",54.78,141.27
2016-09-19,"1,655","89,882",54.31,136.81
2016-09-20,"1,631","87,593",53.71,133.32
2016-09-21,"1,631","94,018",57.64,142.02
2016-09-22,"1,572","82,602",52.55,128.26
2016-09-23,"1,787","90,868",50.85,126.56
2016-09-24,"1,643","87,811",53.45,133.66
2016-09-25,"1,916","102,862",53.69,138.07
2016-09-26,"2,210","115,821",52.41,132.37
2016-09-27,"2,139","107,326",50.18,121.96
2016-09-28,"2,097","108,557",51.77,128.32
2016-09-29,"1,999","101,336",50.69,126.83
2016-09-30,"1,978","101,384",51.26,122.15
2016-10-01,"2,008","106,350",52.96,135.82
2016-10-02,"2,099","112,697",53.69,141.76
2016-10-03,"2,012","106,575",52.97,135.59
2016-10-04,"1,950","99,651",51.1,125.19
2016-10-05,"1,882","97,920",52.03,127.67
2016-10-06,"1,841","94,900",51.55,130.54
2016-10-07,"2,147","106,305",49.51,124.48
2016-10-08,"2,151","112,810",52.45,135.75
2016-10-09,"2,249","117,632",52.3,136.15
2016-10-10,"2,061","110,358",53.55,135.74
2016-10-11,"1,916","99,320",51.84,128.32
2016-10-12,"1,915","97,925",51.14,125.38
2016-10-13,"1,873","99,953",53.37,133.81
2016-10-14,"2,238","116,207",51.92,131.01
2016-10-15,"2,073","115,712",55.82,145.73
2016-10-16,"2,483","135,431",54.54,142.26
2016-10-17,"2,359","128,678",54.55,140.48
2016-10-18,"2,081","112,315",53.97,138.15
2016-10-19,"2,174","110,497",50.83,125.14
2016-10-20,"2,114","108,944",51.53,131.89
2016-10-21,"2,138","112,705",52.72,131.36
2016-10-22,"1,984","107,646",54.26,138.72
2016-10-23,"2,507","134,528",53.66,143.42
2016-10-24,"2,205","113,059",51.27,130.25
2016-10-25,"1,867","99,379",53.23,131.11
2016-10-26,"1,960","99,305",50.67,130.66
2016-10-27,"1,871","98,448",52.62,133.94
2016-10-28,"2,085","108,906",52.23,127.38
2016-10-29,"1,827","94,229",51.58,126.48
2016-10-30,"2,376","122,638",51.62,130.33
2016-10-31,"2,494","126,647",50.78,127.54
2016-11-01,"2,380","122,905",51.64,128.83
2016-11-02,"2,501","126,203",50.46,121.58
2016-11-03,"2,473","127,689",51.63,126.93
2016-11-04,"2,286","116,190",50.83,126.57
2016-11-05,"2,265","121,246",53.53,130.79
2016-11-06,"2,611","135,070",51.73,131.01
2016-11-07,"2,512","128,910",51.32,132.9
2016-11-08,"2,393","121,506",50.78,126.31
2016-11-09,"1,687","87,704",51.99,126.74
2016-11-10,"1,917","100,890",52.63,129.84
2016-11-11,"1,895","94,547",49.89,127.08
2016-11-12,"2,246","122,646",54.61,139.85
2016-11-13,"2,420","128,871",53.25,139.17
2016-11-14,"2,380","129,098",54.24,132.68
2016-11-15,"2,397","128,095",53.44,133.85
2016-11-16,"2,183","114,375",52.39,129.68
2016-11-17,"2,136","115,731",54.18,135.99
2016-11-18,"2,356","123,993",52.63,132.19
2016-11-19,"2,621","132,002",50.36,129.29
2016-11-20,"3,062","157,718",51.51,134.92
2016-11-21,"2,775","142,813",51.46,129.24
2016-11-22,"2,564","134,609",52.5,131.58
2016-11-23,"2,847","147,992",51.98,129.14
2016-11-24,"2,730","142,832",52.32,133.36
2016-11-25,"3,786","196,471",51.89,128.83
2016-11-26,"2,827","150,471",53.23,131.76
2016-11-27,"3,426","181,212",52.89,135.33
2016-11-28,"3,449","180,729",52.4,127.36
2016-11-29,"2,748","148,666",54.1,130.87
2016-11-30,"3,912","225,128",57.55,136.52
2016-12-01,"2,975","163,197",54.86,129.83
2016-12-02,"3,171","177,466",55.97,138.11
2016-12-03,"2,708","139,678",51.58,123.94
2016-12-04,"3,461","188,747",54.54,136.77
2016-12-05,"3,253","174,844",53.75,133.16
2016-12-06,"2,955","162,562",55.01,136.15
2016-12-07,"2,835","155,020",54.68,134.92
2016-12-08,"2,531","136,744",54.03,128.64
2016-12-09,"2,571","145,586",56.63,132.59
2016-12-10,"2,802","156,524",55.86,140.76
2016-12-11,"3,035","178,519",58.82,144.78
2016-12-12,"3,197","178,623",55.87,137.09
2016-12-13,"2,742","161,628",58.95,138.86
2016-12-14,"2,557","148,778",58.18,138.92
2016-12-15,"1,810","104,537",57.76,136.12
2016-12-16,"2,355","134,058",56.92,137.78
2016-12-17,"2,171","122,483",56.42,137.31
2016-12-18,"2,574","141,211",54.86,136.3
2016-12-19,"2,666","148,524",55.71,131.79
2016-12-20,"2,692","149,747",55.63,135.4
2016-12-21,"2,760","151,335",54.83,132.52
2016-12-22,"2,648","144,760",54.67,132.44
2016-12-23,"2,643","144,354",54.62,130.17
2016-12-24,"2,113","120,471",57.01,133.26
2016-12-25,"1,236","71,231",57.63,138.04
2016-12-26,"1,548","76,420",49.37,123.86
2016-12-27,"1,733","94,793",54.7,130.57
2016-12-28,"1,838","91,818",49.96,122.59
2016-12-29,"1,505","79,073",52.54,125.91
2016-12-30,"1,569","82,738",52.73,129.89
2016-12-31,"1,235","70,294",56.92,135.18
2017-01-01,"1,252","68,962",55.08,133.13
2017-01-02,"1,892","105,468",55.74,134.35
2017-01-03,"1,795","101,984",56.82,135.8
2017-01-04,"1,600","89,637",56.02,135.2
2017-01-05,"1,508","84,733",56.19,134.93
2017-01-06,"1,528","89,946",58.87,144.14
2017-01-07,"1,684","95,226",56.55,134.31
2017-01-08,"2,021","118,486",58.63,144.85
2017-01-09,"1,860","110,370",59.34,146.38
2017-01-10,"1,793","101,098",56.38,136.99
2017-01-11,"1,600","91,291",57.06,136.46
2017-01-12,"1,646","92,322",56.09,135.37
2017-01-13,"1,826","99,277",54.37,124.25
2017-01-14,"1,687","90,580",53.69,128.12
2017-01-15,"2,143","119,143",55.6,136.16
2017-01-16,"1,929","110,005",57.03,131.9
2017-01-17,"1,798","98,243",54.64,131.69
2017-01-18,"1,743","96,394",55.3,136.34
2017-01-19,"1,517","86,471",57,135.53
2017-01-20,"1,524","89,599",58.79,140.44
2017-01-21,"1,628","97,046",59.61,141.26
2017-01-22,"2,004","120,339",60.05,150.05
2017-01-23,"1,831","113,542",62.01,154.06
2017-01-24,"1,327","78,658",59.28,140.96
2017-01-25,"1,696","100,661",59.35,143.6
2017-01-26,"1,621","93,499",57.68,134.14
2017-01-27,"1,500","87,588",58.39,142.65
2017-01-28,"1,683","99,092",58.88,146.59
2017-01-29,"2,189","128,914",58.89,146
2017-01-30,"2,005","118,968",59.34,140.29
2017-01-31,"1,981","119,225",60.18,140.6
2017-02-01,"1,681","102,224",60.81,144.79
2017-02-02,"1,811","105,674",58.35,133.6
2017-02-03,"1,667","97,331",58.39,135.94
2017-02-04,"1,849","105,119",56.85,135.11
2017-02-05,"2,153","125,952",58.5,141.52
2017-02-06,"1,950","111,849",57.36,138.26
2017-02-07,"1,924","116,834",60.72,151.34
2017-02-08,"1,842","108,112",58.69,140.04
2017-02-09,"1,829","109,547",59.89,143.2
2017-02-10,"2,172","128,781",59.29,139.98
2017-02-11,"2,054","123,519",60.14,140.2
2017-02-12,"2,311","144,766",62.64,149.24
2017-02-13,"2,376","140,403",59.09,137.92
2017-02-14,"1,677","100,224",59.76,137.29
2017-02-15,"1,633","97,701",59.83,140.58
2017-02-16,"1,457","83,841",57.54,133.08
2017-02-17,"1,576","90,341",57.32,131.31
2017-02-18,"1,626","96,041",59.07,135.46
2017-02-19,"2,452","140,825",57.43,134.76
2017-02-20,"2,242","130,007",57.99,133.48
2017-02-21,"1,912","106,088",55.49,131.95
2017-02-22,"1,740","98,219",56.45,133.09
2017-02-23,"1,658","92,944",56.06,132.4
2017-02-24,"1,798","101,494",56.45,128.31
2017-02-25,"2,020","115,271",57.06,132.95
2017-02-26,"2,130","121,247",56.92,136.69
2017-02-27,"2,024","108,733",53.72,127.02
2017-02-28,"1,957","107,814",55.09,130.37
2017-03-01,"1,882","102,335",54.38,126.5
2017-03-02,"1,846","105,901",57.37,132.88
2017-03-03,"1,916","105,110",54.86,129.13
2017-03-04,"1,802","105,096",58.32,138.1
2017-03-05,"2,287","136,769",59.8,143.06
2017-03-06,"2,080","120,486",57.93,136.61
2017-03-07,"2,005","118,912",59.31,136.84
2017-03-08,"2,018","113,271",56.13,131.86
2017-03-09,"1,805","102,774",56.94,134.52
2017-03-10,"1,824","105,939",58.08,133.26
2017-03-11,"1,879","109,487",58.27,139.65
2017-03-12,"2,173","123,180",56.69,136.26
2017-03-13,"1,673","94,578",56.53,131.18
2017-03-14,"1,470","78,960",53.71,127.15
2017-03-15,"1,509","80,622",53.43,127.36
2017-03-16,"1,571","86,657",55.16,129.73
2017-03-17,"1,507","82,424",54.69,125.26
2017-03-18,"1,775","99,188",55.88,130.17
2017-03-19,"2,077","115,140",55.44,135.46
2017-03-20,"2,903","176,556",60.82,135.29
2017-03-21,"1,863","109,247",58.64,133.07
2017-03-22,"1,965","117,662",59.88,135.71
2017-03-23,"1,694","101,157",59.72,135.24
2017-03-24,"1,665","101,474",60.95,137.87
2017-03-25,"1,487","90,874",61.11,142.44
2017-03-26,"1,827","108,747",59.52,140.68
2017-03-27,"1,830","103,587",56.61,134.01
2017-03-28,"1,565","84,508",54,123.73
2017-03-29,"1,790","96,883",54.12,122.79
2017-03-30,"1,490","81,656",54.8,122.79
2017-03-31,"1,734","97,272",56.1,130.22
2017-04-01,"1,741","97,832",56.19,129.58
2017-04-02,"1,796","106,397",59.24,142.24
2017-04-03,"1,606","90,443",56.32,133.59
2017-04-04,"1,664","95,203",57.21,132.23
2017-04-05,"1,959","118,279",60.38,143.37
2017-04-06,"1,629","93,062",57.13,131.07
2017-04-07,"1,436","85,154",59.3,135.6
2017-04-08,"1,071","61,492",57.42,130.28
2017-04-09,"1,264","70,645",55.89,132.79
2017-04-10,"1,574","87,820",55.79,127.65
2017-04-11,"1,645","91,273",55.48,131.14
2017-04-12,"1,476","82,852",56.13,132.99
2017-04-13,"1,673","88,112",52.67,124.8
2017-04-14,"1,493","85,696",57.4,132.66
2017-04-15,"1,260","73,802",58.57,133.94
2017-04-16,"1,205","69,915",58.02,139
2017-04-17,"1,572","89,077",56.66,133.95
2017-04-18,"1,391","76,952",55.32,130.21
2017-04-19,"1,183","61,738",52.19,123.97
2017-04-20,"1,360","71,016",52.22,123.08
2017-04-21,"1,167","63,628",54.52,118.27
2017-04-22,"1,267","68,754",54.26,122.34
2017-04-23,"1,318","71,419",54.19,132.5
2017-04-24,"1,350","72,618",53.79,123.08
2017-04-25,"1,615","83,405",51.64,118.47
2017-04-26,"1,615","86,833",53.77,121.96
2017-04-27,"1,545","81,951",53.04,119.46
2017-04-28,"1,895","101,690",53.66,122.52
2017-04-29,"1,615","85,529",52.96,121.66
2017-04-30,"1,897","102,001",53.77,122.45
2017-05-01,"2,070","110,773",53.51,122.27
2017-05-02,"1,810","92,312",51,118.05
2017-05-03,"1,749","89,616",51.24,121.93
2017-05-04,"2,048","109,858",53.64,122.2
2017-05-05,"2,034","108,233",53.21,117.77
2017-05-06,"1,761","96,865",55.01,125.64
2017-05-07,"2,091","118,232",56.54,133.9
2017-05-08,"2,057","111,385",54.15,123.76
2017-05-09,"1,942","103,807",53.45,127.84
2017-05-10,"1,618","84,534",52.25,119.4
2017-05-11,"1,641","84,187",51.3,117.74
2017-05-12,"1,694","95,312",56.26,130.56
2017-05-13,"1,678","95,559",56.95,138.29
2017-05-14,"1,582","83,004",52.47,128.29
