Title,Theme,Segment,Email Feature Type ,Subject,List,Send Date & Time,Send Date,Send Time,Send Time (Hour),Send Weekday,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,Times Forwarded,Forwarded Opens,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Abuse Complaints,Bounce Rate,Unsubscribe Rate
"Black Friday - Family#2: Annie, Caterpillar, Wilde Creatures, Jack, Xmas Carol, Cirque, Slava",Offer,Family,Multi-show,"*|TITLE:FNAME|*, book family shows from just Ã‚Â£10 this Black FridayÃ‚Â Ã°Å¸ËœÂç",(Do not use) FromTheBoxOffice Subscribers,Nov 24 2017 07:00 pm,"Nov 24, 2017 ",19:00:00,7:00:00 PM,Friday,70144,70111,26,7,33,0,0,10087,14.39%,13706,631,0.90%,885,93,3,0.00%,14.7385103
Black Friday Weekend,Offer,All,Multi-show,"*|TITLE:FNAME|*, last chance to save up to 70% in the Black Friday sale! Theatre tickets from Ã‚Â£8 - book now.Ã‚Â Ã°Å¸ËœÂç",(Do not use) FromTheBoxOffice Subscribers,Nov 26 2017 06:00 pm,"Nov 26, 2017 ",18:00:00,6:00:00 PM,Sunday,264146,263981,95,70,165,0,0,24015,9.10%,31548,2156,0.82%,2913,304,26,2.44%,14.10018553
Black Friday - Cirque du Soleil OVO - Re-targeting Solus,Offer,Circus/Cabaret/Burlesque,Multi-show,"Ã¢ÂèÂ°Ã‚Â *|TITLE:FNAME|*, last chance to save 25% on Cirque du Soleil's OVO!",(Do not use) FromTheBoxOffice Subscribers,Nov 27 2017 05:43 pm,"Nov 27, 2017 ",17:43:00,6:00:00 PM,Monday,1391,1391,0,0,0,0,0,523,37.60%,866,139,9.99%,210,0,0,0.00%,0
"Black Friday Re-targeting Solus: Oslo, Ferryman, Goats, Xmas Carol",Offer,Plays,Multi-show,"Ã¢ÂèÂ°Ã‚Â *|FNAME|*, last chance to save up to 60% on play tickets - book now from Ã‚Â£10! Offers end midnight.Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Nov 27 2017 05:46 pm,"Nov 27, 2017 ",17:46:00,6:00:00 PM,Monday,2561,2558,3,0,3,0,0,1075,42.03%,1870,250,9.77%,415,6,1,0.00%,2.4
Black Friday Retargeting Solus: Dreamgirls & Motown,Offer,Musicals,Multi-show,"Ã¢ÂèÂ°Ã‚Â *|TITLE:FNAME|*, last chance to book Motown & Dreamgirls tickets with no fees!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Nov 27 2017 05:52 pm,"Nov 27, 2017 ",17:52:00,6:00:00 PM,Monday,1648,1647,1,0,1,0,0,603,36.61%,999,149,9.05%,187,2,0,0.00%,1.342281879
"Black Friday Retargeting Solus: Annie, Jack, Gruffalo's Child",Offer,Family,Multi-show,"Ã¢ÂèÂ°Ã‚Â  *|TITLE:FNAME|*, last chance to save Ã‚Â£Ã‚Â£Ã‚Â£'s on family shows! Cyber Monday offers end midnight. Book now from Ã‚Â£15 Ã¢â€ â€™",(Do not use) FromTheBoxOffice Subscribers,Nov 27 2017 05:57 pm,"Nov 27, 2017 ",17:57:00,6:00:00 PM,Monday,420,420,0,0,0,0,0,151,35.95%,224,19,4.52%,25,1,0,0.00%,5.263157895
Cyber Monday,Offer,All,Multi-show,"*|TITLE:FNAME|*, it's Cyber Monday! Last chance to save up to 70% on theatre - book now from just Ã‚Â£10Ã‚Â Ã°Å¸ËœÂç",(Do not use) FromTheBoxOffice Subscribers,Nov 27 2017 07:00 pm,"Nov 27, 2017 ",19:00:00,7:00:00 PM,Monday,49175,49146,21,8,29,0,0,9136,18.59%,12130,490,1.00%,688,83,1,50.00%,16.93877551
"Beginning, Ferryman, Parliament Sq",Offer,Plays,Multi-show,"*|TITLE:FNAME|*, tickets for Beginning on sale now + save 52% on the Royal Shakespeare Company's ROME Season & more!",(Do not use) FromTheBoxOffice Subscribers,Nov 28 2017 07:00 pm,"Nov 28, 2017 ",19:00:00,7:00:00 PM,Tuesday,36737,36716,14,7,21,0,0,7891,21.49%,11544,457,1.24%,715,52,1,0.00%,11.3785558
Torvill & Dean's Dancing on Ice Live UK Tour 2018 - Solus,New On-Sale,All,Multi-show,"*|TITLE:FNAME|*, Torvill & Dean's Dancing on Ice Live UK Tour is now on sale!",(Do not use) FromTheBoxOffice Subscribers,Nov 29 2017 02:01 pm,"Nov 29, 2017 ",14:01:00,2:00:00 PM,Wednesday,56981,56970,9,2,11,0,0,28398,49.85%,37159,809,1.42%,1174,100,3,0.00%,12.36093943
Mischief Movie Night,Full-price,Comedy,Solus,"*|TITLE:FNAME|*, if you liked *|MERGE8|*, you'll LOVE Mischief Movie Night!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Nov 29 2017 06:52 pm,"Nov 29, 2017 ",18:52:00,7:00:00 PM,Wednesday,6620,6615,5,0,5,0,0,1476,22.31%,2609,197,2.98%,286,17,0,0.00%,8.629441624
Michael Grandage: Red + The Lieutenant of Inishmore (Drama+Delfont),New On-Sale,Plays,Multi-show,Michael Grandage's Red &Ã‚Â The Lieutenant of Inishmore are on sale now!Ã‚Â Tickets from Ã‚Â£48.72.,(Do not use) FromTheBoxOffice Subscribers,Nov 30 2017 10:31 am,"Nov 30, 2017 ",10:31:00,11:00:00 AM,Thursday,13386,13379,7,0,7,0,0,2592,19.37%,3571,62,0.46%,91,13,0,0.00%,20.96774194
Michael Grandage: Red + The Lieutenant of Inishmore (2015 subs),New On-Sale,Plays,Multi-show,Michael Grandage's Red &Ã‚Â The Lieutenant of Inishmore are on sale now! Tickets from Ã‚Â£48.72.Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Nov 30 2017 10:36 am,"Nov 30, 2017 ",10:36:00,11:00:00 AM,Thursday,54804,54493,298,13,311,0,0,6492,11.91%,8132,71,0.13%,123,34,2,0.00%,47.88732394
Michael Grandage: Red + The Lieutenant of Inishmore (everyone else),New On-Sale,Plays,Multi-show,Michael Grandage's Red &Ã‚Â The Lieutenant of Inishmore are on sale now! Tickets from Ã‚Â£48.72.Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Nov 30 2017 11:15 am,"Nov 30, 2017 ",11:15:00,11:00:00 AM,Thursday,246917,246318,550,49,599,0,0,39146,15.89%,49582,394,0.16%,618,441,11,0.00%,111.928934
"Jamie, Dreamgirls, Chess, Tina, The King & I",Reviews,Musicals,Multi-show,5 Star Reviews for Everybody's Talking About Jamie + Dreamgirls New Cast & 2018 Musicals You Need To See!,(Do not use) FromTheBoxOffice Subscribers,Dec 01 2017 11:06 am,"Dec 01, 2017 ",11:06:00,11:00:00 AM,Friday,177164,176899,251,14,265,0,0,27488,15.54%,35506,1070,0.60%,1524,233,12,0.00%,21.77570093
The Christmasaurus Live On Stage - Solus,New On-Sale,Family,Solus,"Ã°Å¸Å_â€_Tom Fletcher's The Christmasaurus Live On Stage Is On Sale Now, Book Today!",(Do not use) FromTheBoxOffice Subscribers,Dec 03 2017 01:38 pm,"Dec 03, 2017 ",13:38:00,2:00:00 PM,Sunday,78032,77967,58,7,65,0,0,11850,15.20%,15240,293,0.38%,404,94,12,0.00%,32.08191126
Xmas Pantos,Cast Announcement,Family,Multi-show,"*|TITLE:FNAME|*, treat the family to a star-studded panto this Christmas! Peter Pan, Dick Whittington & More!",(Do not use) FromTheBoxOffice Subscribers,Dec 03 2017 02:42 pm,"Dec 03, 2017 ",14:42:00,3:00:00 PM,Sunday,236282,235797,463,22,485,0,0,42507,18.03%,55527,1598,0.68%,2205,352,25,0.00%,22.02753442
BOOH-Onsale-Dominion,New On-Sale,Musicals,Solus,Ã°Å¸â€ùÂ¥Ã°Å¸ÂèÂç Jim Steinman's Bat Out Of Hell Is Back! Tickets On Sale Now Ã°Å¸ÂèÂç Ã°Å¸â€ùÂ¥Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Dec 04 2017 01:01 pm,"Dec 04, 2017 ",13:01:00,1:00:00 PM,Monday,313861,312369,1448,44,1492,0,0,44862,14.36%,58692,1498,0.48%,2295,340,20,0.00%,22.69692924
BOOH-Onsale-Dominion (copy 01),New On-Sale,Musicals,Solus,Ã°Å¸â€ùÂ¥Ã°Å¸ÂèÂç Jim Steinman's Bat Out Of Hell Tickets are On Sale Now Ã°Å¸ÂèÂç Ã°Å¸â€ùÂ¥Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Dec 05 2017 11:15 am,"Dec 05, 2017 ",11:15:00,11:00:00 AM,Tuesday,279188,278264,849,75,924,0,0,20823,7.48%,26194,677,0.24%,936,325,22,6.25%,48.00590842
Quiz-Onsale-Solus,New On-Sale,Plays,Solus,James Graham's New Show QUIZ West End Transfer Is On Sale Now!Ã‚Â Ã°Å¸â€œÂº,(Do not use) FromTheBoxOffice Subscribers,Dec 06 2017 12:02 pm,"Dec 06, 2017 ",12:02:00,12:00:00 PM,Wednesday,7483,7480,3,0,3,0,0,1626,21.74%,2564,43,0.57%,73,19,1,0.00%,44.18604651
Quiz-Ink-Oslo-Red-Batout-BookToday,New On-Sale,Plays,Multi-show,Tickets On Sale Now For James Graham's Quiz!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Dec 06 2017 04:21 pm,"Dec 06, 2017 ",16:21:00,4:00:00 PM,Wednesday,113641,113573,50,18,68,0,0,7576,6.67%,9779,276,0.24%,428,87,9,100.00%,31.52173913
Shen Yun_Solus,New On-Sale,Dance/Opera/Classical,Solus,"Ã¢Å“Â¨Shen Yun Returns to London, bringing 5,000 Years of Civilisation Live On Stage!",(Do not use) FromTheBoxOffice Subscribers,Dec 07 2017 06:45 pm,"Dec 07, 2017 ",18:45:00,7:00:00 PM,Thursday,74849,74819,25,5,30,0,0,10984,14.68%,13572,118,0.16%,169,69,21,0.00%,58.47457627
Christmas Kids shows ,Full-price,Family,Multi-show,"*|TITLE:FNAME|*, give the gift of theatre this Christmas!Ã‚Â Ã‚Â Ã°Å¸Å_Â_",(Do not use) FromTheBoxOffice Subscribers,Dec 10 2017 06:00 pm,"Dec 10, 2017 ",18:00:00,6:00:00 PM,Sunday,316018,315879,107,32,139,0,0,47624,15.08%,65260,2877,0.91%,4206,433,66,0.00%,15.05039972
"MaryStuart, OldVIc, Womanofnoimportance, LongDay TEST",Full-price,Plays,Multi-show,,(Do not use) FromTheBoxOffice Subscribers,Dec 13 2017 05:56 pm,"Dec 13, 2017 ",17:56:00,6:00:00 PM,Wednesday,40262,40237,17,8,25,0,0,8341,20.73%,12347,595,1.48%,0,52,7,n/a,8.739495798
"MaryStuart, OldVIc, Womanofnoimportance, LongDay TEST | Combo 1",Offer,Plays,Multi-show,*|FNAME|* Book Tickets For Mary Stuart & Pay No Fees + Old Vic New Season Highlights & more!,(Do not use) FromTheBoxOffice Subscribers,Dec 13 2017 05:56 pm,"Dec 13, 2017 ",17:56:00,6:00:00 PM,Wednesday,15098,15085,10,3,13,0,0,3098,20.54%,4699,214,1.42%,287,25,2,0.00%,11.68224299
"MaryStuart, OldVIc, Womanofnoimportance, LongDay TEST | Combo 2",Offer,Plays,Multi-show,*|FNAME|* Book Tickets For Mary Stuart & Pay No Fees + Old Vic New Season Highlights & more!,(Do not use) FromTheBoxOffice Subscribers,Dec 13 2017 05:56 pm,"Dec 13, 2017 ",17:56:00,6:00:00 PM,Wednesday,15098,15091,4,3,7,0,0,3353,22.22%,4945,236,1.56%,338,12,4,0.00%,5.084745763
"MaryStuart, OldVIc, Womanofnoimportance, LongDay TEST | Winner",Offer,Plays,Multi-show,*|FNAME|* Book Tickets For Mary Stuart & Pay No Fees + Old Vic New Season Highlights & more!,(Do not use) FromTheBoxOffice Subscribers,Dec 14 2017 05:56 am,"Dec 14, 2017 ",05:56:00,6:00:00 AM,Thursday,10066,10061,3,2,5,0,0,1890,18.79%,2703,145,1.44%,222,15,1,0.00%,10.34482759
Mischief Movie Night_Paid,Full-price,Comedy,Multi-show,"Ã‚Â The ideal Christmas treat, Mischief Movie Night is playing at the Arts Theatre -Ã‚Â secure your seats today!",(Do not use) FromTheBoxOffice Subscribers,Dec 14 2017 12:55 pm,"Dec 14, 2017 ",12:55:00,1:00:00 PM,Thursday,21539,21522,13,4,17,0,0,3524,16.37%,4853,134,0.62%,215,23,2,0.00%,17.1641791
Strictly Cast Announced,Cast Announcement,Dance/Opera/Classical,Multi-show,The Strictly Come Dancing Live Tour Line-Up Confirmed!Ã‚Â Ã°Å¸â€™Æ’,(Do not use) FromTheBoxOffice Subscribers,Dec 14 2017 04:44 pm,"Dec 14, 2017 ",16:44:00,5:00:00 PM,Thursday,69917,69843,67,7,74,1,1,27489,39.36%,40101,2118,3.03%,2636,129,14,50.00%,6.090651558
"AAIP, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie | Combo 3",Closing Soon,Musicals,Multi-show,"Don't miss An American in Paris, ends 6 Jan!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Dec 15 2017 04:24 pm,"Dec 15, 2017 ",16:24:00,4:00:00 PM,Friday,30656,30644,11,1,12,0,0,8018,26.16%,10150,277,0.90%,416,57,8,0.00%,20.57761733
"AAIP, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie | Combo 1",Closing Soon,Musicals,Multi-show,"Don't miss An American in Paris, ends 6 Jan!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Dec 15 2017 04:25 pm,"Dec 15, 2017 ",16:25:00,4:00:00 PM,Friday,30656,30642,13,1,14,0,0,7724,25.21%,9837,227,0.74%,302,43,2,0.00%,18.94273128
"AAIP, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie | Combo 2",Closing Soon,Musicals,Multi-show,"Don't miss An American in Paris, ends 6 Jan!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Dec 15 2017 04:25 pm,"Dec 15, 2017 ",16:25:00,4:00:00 PM,Friday,30656,30648,8,0,8,0,0,7348,23.98%,9319,221,0.72%,333,40,1,0.00%,18.09954751
"AAIP, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie | Winner",Closing Soon,Musicals,Multi-show,"Don't miss An American in Paris, ends 6 Jan!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Dec 16 2017 04:24 am,"Dec 16, 2017 ",04:24:00,4:00:00 AM,Saturday,91968,91931,32,5,37,0,0,22094,24.03%,27889,700,0.76%,1122,177,13,0.00%,25.28571429
"MaryStuart, Hampstead Womanofnoimportance, Ferryman",Offer,Plays,Multi-show,"*|TITLE:FNAME|*, book tickets for Mary Stuart & pay no fees - offer ends Sunday!",(Do not use) FromTheBoxOffice Subscribers,Dec 16 2017 07:00 pm,"Dec 16, 2017 ",19:00:00,7:00:00 PM,Saturday,16874,16871,2,1,3,0,0,2823,16.73%,3840,175,1.04%,249,25,0,0.00%,14.28571429
"dick, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie (copy 01 | Combo 1",Full-price,All,Multi-show,"*|TITLE:FNAME|*, Here is a selection of Christmas shows for all ages to enjoy!",(Do not use) FromTheBoxOffice Subscribers,Dec 17 2017 12:47 pm,"Dec 17, 2017 ",12:47:00,1:00:00 PM,Sunday,119193,119127,44,22,66,0,0,20215,16.97%,27061,848,0.71%,1295,185,16,0.00%,21.81603774
"dick, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie (copy 01 | Combo 2",Full-price,All,Multi-show,"*|TITLE:FNAME|*, Here is a selection of Christmas shows for all ages to enjoy!",(Do not use) FromTheBoxOffice Subscribers,Dec 17 2017 12:47 pm,"Dec 17, 2017 ",12:47:00,1:00:00 PM,Sunday,119192,119136,39,17,56,0,0,18276,15.34%,23982,693,0.58%,1019,137,21,0.00%,19.76911977
"dick, Wilde Creatures, Barricade Boys, Xmas Carol, Christmasaurus, Lion King, Wicked, Jamie (copy 01 | Winner",Full-price,All,Multi-show,"*|TITLE:FNAME|*, Here is a selection of Christmas shows for all ages to enjoy!",(Do not use) FromTheBoxOffice Subscribers,Dec 17 2017 04:47 pm,"Dec 17, 2017 ",16:47:00,5:00:00 PM,Sunday,79462,79431,17,14,31,0,0,13288,16.73%,17473,551,0.69%,768,101,19,0.00%,18.33030853
Moderate Soprano Solus (copy 01),Full-price,Plays,Multi-show,Priority booking for The Moderate Soprano at the Duke Of York's Theatre is open now!,(Do not use) FromTheBoxOffice Subscribers,Dec 18 2017 04:46 pm,"Dec 18, 2017 ",16:46:00,5:00:00 PM,Monday,25878,25868,8,2,10,0,0,7386,28.55%,10175,197,0.76%,280,36,1,0.00%,18.27411168
Moderate Soprano Solus_OperaTargeted,Full-price,Plays,Multi-show,Priority booking for The Moderate Soprano at the Duke Of York's Theatre is open now!,(Do not use) FromTheBoxOffice Subscribers,Dec 18 2017 05:32 pm,"Dec 18, 2017 ",17:32:00,6:00:00 PM,Monday,86911,86741,168,2,170,0,0,14350,16.54%,18420,211,0.24%,316,91,10,0.00%,43.12796209
"Royal Variety Performance (Cirque, Annie, 42nd Street, Big Fish)",Full-price,All,Multi-show,"*|TITLE:FNAME|*, catch some spectacular theatre on the Royal Variety Performance this evening!Ã‚Â Ã°Å¸â€˜â€˜",(Do not use) FromTheBoxOffice Subscribers,Dec 19 2017 06:35 pm,"Dec 19, 2017 ",18:35:00,7:00:00 PM,Tuesday,122613,122572,36,5,41,0,0,31918,26.04%,42282,1545,1.26%,2344,157,16,0.00%,10.1618123
Chicago Solus,New On-Sale,Musicals,Solus,Chicago is coming back to London's West End - book your tickets now!,(Do not use) FromTheBoxOffice Subscribers,Dec 20 2017 10:27 am,"Dec 20, 2017 ",10:27:00,10:00:00 AM,Wednesday,62673,62646,20,7,27,0,0,23929,38.20%,31557,582,0.93%,827,87,5,0.00%,14.94845361
Chicago + Oscar Wilde + Moderate Soprano,New On-Sale,All,Multi-show,Chicago is coming back toÃ‚Â London Ã°Å¸â€™â€_Ã‚Â + new Oscar Wilde plays at the Vaudeville Theatre & musical classics to see in 2018!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Dec 20 2017 11:31 am,"Dec 20, 2017 ",11:31:00,12:00:00 PM,Wednesday,120329,120131,192,6,198,0,0,19171,15.96%,25051,952,0.79%,1398,142,13,0.00%,14.91596639
Last Minute Xmas Deals,Offer,All,Multi-show,"*|TITLE:FNAME|*, find that perfect gift with our last minute theatre treats!Ã‚Â Ã°Å¸Å_â€_Ã°Å¸Å_ÂÅÃ‚Â ",(Do not use) FromTheBoxOffice Subscribers,Dec 23 2017 01:05 pm,"Dec 23, 2017 ",13:05:00,1:00:00 PM,Saturday,182717,182658,46,13,59,0,0,38969,21.33%,53325,2165,1.19%,3326,299,21,0.00%,13.81062356
Boxing Day Sale,Offer,All,Multi-show,"Hey *|FNAME|*, Our Theatre Boxing Day Sale Is On! Save up to 60% on world-class theatre today!",(Do not use) FromTheBoxOffice Subscribers,Dec 26 2017 10:45 am,"Dec 26, 2017 ",10:45:00,11:00:00 AM,Tuesday,182422,182357,55,10,65,0,0,40745,22.34%,55451,3274,1.80%,5221,379,189,0.00%,11.57605376
Wicked Bristol + Boxing Day Sale + Top Shows 2018,New On-Sale,All,Multi-show,"*|TITLE:FNAME|*, see Wicked live on stage at the Bristol Hippodrome! Tickets on sale now.Ã‚Â Ã°Å¸â„¢Å’",(Do not use) FromTheBoxOffice Subscribers,Dec 28 2017 04:10 pm,"Dec 28, 2017 ",16:10:00,4:00:00 PM,Thursday,12856,12846,10,0,10,0,0,3528,27.46%,4717,160,1.25%,198,29,0,100.00%,18.125
New Year's Eve Specials + Boxing Day Round-Up,Offer,All,Multi-show,"Ã‚Â *|TITLE:FNAME|*, our Boxing Day Sale is still on!Ã‚Â Ã°Å¸Å_ÂÅÃ‚Â Welcome 2018 with spectacular circus at the Battersea Arts Centre.Ã‚Â Ã°Å¸ËœÂç",(Do not use) FromTheBoxOffice Subscribers,Dec 29 2017 03:06 pm,"Dec 29, 2017 ",15:06:00,3:00:00 PM,Friday,181940,181837,67,36,103,0,0,41041,22.57%,55238,2504,1.38%,3802,439,17,0.00%,17.53194888
January Sale,Offer,All,Multi-show,"*|TITLE:FNAME|*, beat the January blues with theatre tickets under Ã‚Â£20!Ã‚Â Ã°Å¸â„¢Å’",(Do not use) FromTheBoxOffice Subscribers,Jan 02 2018 05:11 pm,"Jan 02, 2018 ",17:11:00,5:00:00 PM,Tuesday,22572,22554,17,1,18,0,0,8846,39.22%,12338,788,3.49%,1180,60,10,17.39%,7.614213198
January Sale - Main Send,Offer,All,Multi-show,"*|TITLE:FNAME|*, beat the January blues with theatre tickets under Ã‚Â£20!Ã‚Â Ã°Å¸â„¢Å’",(Do not use) FromTheBoxOffice Subscribers,Jan 02 2018 06:57 pm,"Jan 02, 2018 ",18:57:00,7:00:00 PM,Tuesday,126460,126245,170,45,215,0,0,15379,12.18%,21965,2015,1.60%,2965,303,99,5.36%,15.03722084
Wicked Bristol + January Sale + Top Shows 2018 (re-send),New On-Sale,All,Multi-show,"*|TITLE:FNAME|*, see Wicked live on stage at the Bristol Hippodrome! Tickets on sale now.Ã‚Â Ã°Å¸â„¢Å’",(Do not use) FromTheBoxOffice Subscribers,Jan 03 2018 05:36 pm,"Jan 03, 2018 ",17:36:00,6:00:00 PM,Wednesday,8462,8460,2,0,2,0,0,1412,16.69%,1903,98,1.16%,123,24,1,0.00%,24.48979592
Shows to see in 2018: Chicago Tina Bat Quiz Red Lieutenant Chess Birthday Mary Stuart Frozen,Full-price,All,Multi-show,"*|TITLE:FNAME|*, here are the hottest plays and musicals opening this year!Ã‚Â Ã°Å¸â€ùÂ¥",(Do not use) FromTheBoxOffice Subscribers,Jan 05 2018 03:51 pm,"Jan 05, 2018 ",15:51:00,4:00:00 PM,Friday,125002,124933,60,9,69,0,0,29507,23.62%,42638,2580,2.07%,4276,265,14,0.00%,10.27131783
January Sale Round-Up (Musicals: Kinky Dreamgirls 5GNM Grinning Rat Pack Gatsby),Offer,All,Multi-show,"*|TITLE:FNAME|*, last chance to save up to 50% on musicals in our January Sale! Offers end midnight Ã°Å¸ÂèÆ’",(Do not use) FromTheBoxOffice Subscribers,Jan 07 2018 10:00 am,"Jan 07, 2018 ",10:00:00,10:00:00 AM,Sunday,2097,2096,1,0,1,0,0,967,46.14%,1737,310,14.79%,607,7,0,0.00%,2.258064516
"January Sale Round-Up (Drama: Ferryman, Witness, Cell Mates, Rita, Sylphide Ballets)",Offer,All,Multi-show,"*|TITLE:FNAME|*, last chance to save up to 50% on plays & ballets in our January Sale! Offers end midnightÃ‚Â Ã°Å¸ÂèÆ’",(Do not use) FromTheBoxOffice Subscribers,Jan 07 2018 10:00 am,"Jan 07, 2018 ",10:00:00,10:00:00 AM,Sunday,2094,2094,0,0,0,0,0,966,46.13%,1926,283,13.51%,431,3,0,0.00%,1.060070671
January Sale Round-Up (Comedy/Circus/Variety),Offer,All,Multi-show,"*|TITLE:FNAME|*, last chance to save up to 60% on circus, comedy & variety in our January Sale! Offers end midnight Ã°Å¸ÂèÆ’",(Do not use) FromTheBoxOffice Subscribers,Jan 07 2018 10:00 am,"Jan 07, 2018 ",10:00:00,10:00:00 AM,Sunday,1621,1621,0,0,0,0,0,615,37.94%,902,90,5.55%,125,2,0,0.00%,2.222222222
Dancing on Ice On Tv - Test | Combo 1,Full-price,All,Solus,Ã¢â€ºÂ¸Ã¯Â¸Âè See Dancing On Ice Live at an arena near you!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Jan 07 2018 05:45 pm,"Jan 07, 2018 ",17:45:00,6:00:00 PM,Sunday,25372,25365,4,3,7,0,0,13676,53.92%,18247,435,1.71%,546,70,1,0.00%,16.09195402
Dancing on Ice On Tv - Test | Combo 2,Full-price,All,Solus,Ã¢â€ºÂ¸Ã¯Â¸Âè See Dancing On Ice Live at an arena near you!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Jan 07 2018 08:15 pm,"Jan 07, 2018 ",20:15:00,8:00:00 PM,Sunday,25327,25315,12,0,12,0,0,13678,54.03%,18473,390,1.54%,565,68,3,0.00%,17.43589744
"Musicals: Rat Pack, Eugenius, Comedy Robbery, Bat Out of Hell, 42nd Street, Classic Musicals",New On-Sale,Musicals,Multi-show,"*|TITLE:FNAME|*, new Ã‚Â£24 tickets for The Book of Mormon on sale + All or Nothing - The Mod Musical opens soon!Ã‚Â Ã‚Â Ã°Å¸Å_Â_",(Do not use) FromTheBoxOffice Subscribers,Jan 10 2018 02:58 pm,"Jan 10, 2018 ",14:58:00,3:00:00 PM,Wednesday,99628,99551,74,3,77,0,0,24995,25.11%,35276,2210,2.22%,3253,197,7,0.00%,8.914027149
"Chicago, Strictly Ballroom, BOM, Five Guys, Young Frankenstein",Cast Announcement,Musicals,Multi-show,"*|TITLE:FNAME|*, Cuba Gooding Jr. stars in Chicago + Everybody's Talking About Jamie extends to October!Ã‚Â Ã°Å¸ËœÂç",(Do not use) FromTheBoxOffice Subscribers,Jan 12 2018 01:48 pm,"Jan 12, 2018 ",13:48:00,2:00:00 PM,Friday,111241,111182,49,10,59,0,0,28486,25.62%,38113,1197,1.08%,1698,225,12,0.00%,18.79699248
"Battersea, Park Theatre, Things I Know To Be True, Exorcist, Divide",Cast Announcement,Plays,Multi-show,"*|TITLE:FNAME|*, Park Theatre & Battersea Arts Centre's new seasons open soon! Tickets from only Ã‚Â£11.50.Ã‚Â Ã°Å¸ËœÂç",(Do not use) FromTheBoxOffice Subscribers,Jan 14 2018 06:00 pm,"Jan 14, 2018 ",18:00:00,6:00:00 PM,Sunday,22961,22944,15,2,17,0,0,6645,28.96%,9027,308,1.34%,446,58,1,0.00%,18.83116883
Chicago + Kinky + Jamie + YF + Ballroom + Five Guys (time test) | Combo 1,Offer,Musicals,Multi-show,"*|TITLE:FNAME|*, Cuba Gooding Jr. to star in Chicago + turn your 'Blue Monday' RED with 44% off Kinky BootsÃ‚Â Ã¢ÂùÂ_",(Do not use) FromTheBoxOffice Subscribers,Jan 15 2018 02:45 pm,"Jan 15, 2018 ",14:45:00,3:00:00 PM,Monday,42466,42439,23,4,27,0,0,5364,12.64%,6790,208,0.49%,268,54,2,60.00%,25.96153846
Chicago + Kinky + Jamie + YF + Ballroom + Five Guys (time test) | Combo 2,Offer,Musicals,Multi-show,"*|TITLE:FNAME|*, Cuba Gooding Jr. to star in Chicago + turn your 'Blue Monday' RED with 44% off Kinky BootsÃ‚Â Ã¢ÂùÂ_",(Do not use) FromTheBoxOffice Subscribers,Jan 15 2018 07:00 pm,"Jan 15, 2018 ",19:00:00,7:00:00 PM,Monday,42463,42442,19,2,21,0,0,3483,8.21%,4654,169,0.40%,217,36,4,0.00%,21.30177515
Russian Season - Priority On-Sale,Offer,Plays,Solus,Ã¢ÂèÂ°Ã‚Â 48 hour pre-sale for Life and Fate & Uncle Vanya at the Haymarket + 42% off Glengarry Glen Ross & more!,(Do not use) FromTheBoxOffice Subscribers,Jan 17 2018 10:10 am,"Jan 17, 2018 ",10:10:00,10:00:00 AM,Wednesday,187761,187639,75,47,122,0,0,42713,22.76%,55677,1938,1.03%,3184,401,27,0.00%,20.69143447
Palldium Events + Circus ,Cast Announcement,Circus/Cabaret/Burlesque,Multi-show,"*|TITLE:FNAME|*, see Ross Noble, Jake Bugg, Conchita & more at the London Palladium!Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Jan 18 2018 07:38 pm,"Jan 18, 2018 ",19:38:00,8:00:00 PM,Thursday,43665,43624,38,3,41,0,0,11035,25.30%,14773,680,1.56%,919,89,5,0.00%,13.08823529
